Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/25,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.995373,0.9967411,0.990566,0.7534984,0.02722654,0.004129479,0.01567801,,,,,,18.58,0,0.9989791,0,74.32,0.6729841,94.28188,27.65254,0.01347709,0.01690821,3.970562,235.0888,45.3,1,,36,0.9989791,0,0.0041841,0.9963899,2.252444,1.231624,,0.394321,0.0257145,0.9981545,0.9992855,1,0,0,1,,,,,0.984322,,,,,,,,,,,,,
2016/6/28,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.995956,0.983573,1,0.5586592,0.01986734,0.005759386,0.01281336,,,,,,26.85,0.00744879,0.9992799,0,115.0714,0.5865676,81.10873,24.97214,0.009873061,0.01547988,3.851682,292.0204,53.61,1,,36,0.9990398,0,0.00191164,0.9969136,2.643769,1.37599,,0.4966667,0.02605872,0.9994127,0.9990519,1,0,0,1,,,,,0.9871866,,,,,,,,,,,,,
2016/6/24,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.997224,0.9693872,1,0.4950495,0.01598397,0.006006718,0.01099534,,,,,,28.28,0.02404526,0.999626,0,113.12,0.8042837,86.49446,25.05997,0.009457755,0.01211073,4.066001,313.162,57.55,1,,36,0.999813,0,0.005547054,0.9974115,2.640077,1.339771,,0.5298148,0.02928319,0.9998103,0.9993955,1,0,0,1,,,,,0.9890047,,,,,,,,,,,,,
2016/6/29,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.996582,0.9813802,0.996587,0.5090055,0.01713304,0.005437156,0.0112851,,,,,,25.54,0.005090055,0.9996053,0,102.16,0.5357201,80.93404,26.13503,0.01099707,0.01314459,3.776341,308.5893,57.39,1,36,36,0.9996053,0,0.002804487,0.9969758,2.701762,1.359311,176,0.5119136,0.02663496,0.9993283,0.9991695,1,0,0,1,,,,,0.9887149,,123417,13,989,0,0,0,7,0,3,0,3,
2016/6/23,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.997891,0.980495,0.9769737,0.5292872,0.03051748,0.005343775,0.01793063,,,,,,28.34,0.01482004,0.9998087,0,100.0235,0.691174,80.64027,27.12504,0.01174845,0.01440922,3.950391,280.9962,55.4,1,,36,0.9998087,0,0.006932066,0.9980825,2.635843,1.335011,,0.5169136,0.02792831,0.9987319,0.9992015,1,0,0,1,,,,,0.9820694,,,,,,,,,,,,,
2016/6/26,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.997754,0.9993437,0.9880239,0.269179,0.02148446,0.004731053,0.01310776,,,,,,14.86,0,0.9992779,0,222.9,0.5709868,112.349,31.54959,0.004672897,0.00610687,3.87733,238.9223,42.15,1,,36,0.9992779,0,0.002871729,0.9984756,2.042736,1.223288,,0.3519136,0.02716686,0.9995512,0.9996384,1,0,0,1,,,,,0.9868922,,,,,,,,,,,,,
2016/6/27,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.995956,0.9803395,0.9878788,0.4169562,0.01885682,0.004868045,0.01186243,,,,,,28.78,0.00694927,0.9988128,0,143.9,0.700536,80.40078,25.90759,0.00811908,0.01147228,3.978538,282.7298,53.4,1,,36,0.9988128,0,0.002610442,0.9971401,2.657386,1.348736,,0.5072839,0.02537363,0.999173,0.9996845,1,0,0,1,,,,,0.9881375,,,,,,,,,,,,,
2016/6/30,10ADBFD,GZA27,GG20345,地铁八号线凤凰新村N,地铁,G.10.1,0.998893,0.9809082,0.9935275,0.5305978,0.02527362,0.006594729,0.01593417,,,,,,28.27,0.01627167,0.9998113,0,113.08,0.5293877,82.53858,24.27805,0.01005362,0.01378676,3.779466,346.3306,59.01,1,,36,0.9998113,0,0.002672776,0.9990817,2.786778,1.413295,,0.5387654,0.02400012,0.9983548,0.9985037,1,0,0,1,,,,,0.9840658,,,,,,,,,,,,,
