Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/19,DCVQFX1,GZM03A,GD40390,齐富新景花园D,白云,G.4.11,0.9963704,0.9999278,0.99331,0.1817906,0.005042737,0.006378056,0.005710396,,,,,,66.01,0,0.9983473,0,330.05,1.926968E-05,87.73363,8.664887,0.002467613,0.005952381,1.003122,176.2415,47.3,1,44,44,0.9983473,0,0.004473022,0.9980198,1.874632,1.223158,0,0.5722727,0.02495108,0.9667988,0.9844161,0,0,0,1,,,,,0.9942896,0,69191,12,2016,2,0,6,0,1,0,0,3,
2016/6/21,DCVQFX1,GZM03A,GD40390,齐富新景花园D,白云,G.4.11,0.9958147,0.9999809,0.9895036,0.1887047,0.005268261,0.006726383,0.005997322,,,,,,74.19,0,0.99643,0,296.76,0.000558793,87.23028,13.98292,0.002811621,0.006721075,1.011156,109.5451,43.58,1,44,44,0.9962927,0,0.006424581,0.9995202,1.577872,1.102726,0,0.594798,0.02202962,0.9679011,0.9847775,0,0,0,1,,,,,0.9940027,0,52369,14,2083,1,0,9,0,2,0,0,1,
2016/6/18,DCVQFX1,GZM03A,GD40390,齐富新景花园D,白云,G.4.11,0.9965788,0.9997878,0.9913554,0.082021,0.005708782,0.005245758,0.00547727,,,,,,60.96,0,0.998116,0,457.2,0.0007066369,70.51699,7.882762,0.001643385,0.002570694,1.0106,90.30169,43.26,1,44,44,0.998116,0,0.00336159,0.9984599,1.614147,1.135822,0,0.5263636,0.03000579,0.9630129,0.9823451,0,0,0,1,,,,,0.9945228,0,51845,5,1945,2,0,2,0,0,0,0,1,
2016/6/17,DCVQFX1,GZM03A,GD40390,齐富新景花园D,白云,G.4.11,0.99764,0.9999561,0.9933454,0.1739405,0.004024762,0.006552838,0.0052888,,,,,,63.24,0,0.9984353,0,316.2,0.001933223,66.49628,13.51757,0.002428167,0.00563236,1.024427,72.22842,40.43,1,44,44,0.9981508,0,0.005437116,0.9994882,1.561772,1.098921,0,0.5235859,0.02962608,0.9731045,0.9885325,0,0,0,1,,,,,0.9947112,0,45528,11,1953,1,0,5,0,3,0,0,2,
2016/6/20,DCVQFX1,GZM03A,GD40390,齐富新景花园D,白云,G.4.11,0.9975882,0.9999808,0.993295,0.03154574,0.003240905,0.006581756,0.004911331,,,,,,63.4,0,0.9979073,0,1268,0.0007754801,85.83176,15.22488,0.0006026517,0.0009195402,1.009767,111.473,43.38,1,44,44,0.9980469,0,0.003945885,0.9995404,1.592477,1.141438,0,0.5392929,0.02762613,0.9808674,0.987698,0,0,0,1,,,,,0.9950887,0,52101,2,2175,0,0,1,0,0,0,0,1,
