Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/19,G3XSYEN,GZM50B3,GG40644,三元里G6N,白云,G.4.12,0.9825771,1,1,1.754386,0.01597345,0.02968772,0.02283058,,,,,,5.7,0,0.9885321,0,34.2,0.001173333,149.1985,10.91111,0.05208333,0.06060606,1.105387,61.8329,10.79,1,24,24,0.9885321,0,0.02031063,0.9939759,1.344543,1.062561,0,0.1526852,0.01485846,0.9659095,0.9696821,0,0,0,1,,,,,0.9771694,0,5219,10,165,4,0,6,0,0,0,0,0,
2016/6/17,G3XSYEN,GZM50B3,GG40644,三元里G6N,白云,G.4.12,0.9942252,0.9821718,0.9090909,1.276596,0.01285478,0.07787839,0.04536659,,,,,,2.35,0,0.9942252,0,47,0.0008688425,102.1625,,0.01685393,0.01863354,1.157827,29.3854,11.25,0.768,24,18,0.9942252,0,0.008955223,1,1.370226,1.066059,0,0.1259259,,0.9823087,0.8988357,0,0,1,1,,,,,0.9546334,0,6787,3,161,0,1,0,0,0,0,0,2,
2016/6/21,G3XSYEN,GZM50B3,GG40644,三元里G6N,白云,G.4.12,0.9960688,0.9928982,1,2.105263,0.06263699,0.01439467,0.03851583,,,,,,5.7,0,0.9960688,0,28.5,0,147.8475,5.852273,0.03191489,0.03539823,1.023377,111.567,19.65,0.8134028,24,20,0.9960688,0,0.00716479,1,1.458327,1.096887,0,0.2347222,,0.88851,0.9077226,0,1,0,1,,,,,0.9614842,0,12532,12,339,0,1,8,0,0,0,0,3,
2016/6/20,G3XSYEN,GZM50B3,GG40644,三元里G6N,白云,G.4.12,0.9824494,1,1,1.48423,0.01958883,0.05096419,0.03527651,,,,,,5.39,0,0.9947307,0,40.425,0.003234217,134.8822,1.25,0.02768166,0.03174603,1.066264,67.01431,20.78,1,24,24,0.9941452,0,0.01376421,0.9882353,1.431627,1.085267,0,0.2423148,0.01595696,0.9574282,0.8995474,0,0,1,1,,,,,0.9647235,0,12838,8,252,2,0,5,0,1,0,0,0,
