Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/3,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.9983936,0.9987488,1,0.4338395,0.01791755,0.002646932,0.01028224,,,,,,4.61,0.04121475,0.9983936,0,138.3,0.01006575,146.9437,,0.00921659,0.009756098,1.177531,83.4739,25.82,1,13,13,0.9983936,0,0.001635323,1,1.263854,1.039424,9,0.5201709,0.05208256,0.9236258,0.9728284,0,0,0,1,,,,,0.9897178,0,19981,2,205,0,1,0,1,0,0,0,0,
2016/6/2,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.9981273,0.999037,1,0,0.00504838,0.0007857358,0.002917058,,,,,,5.12,0.0546875,0.9981273,0,,0.02852991,136.544,,0,0,1.344195,61.25405,23.2,1,13,13,0.9981273,0,0.0009469697,1,1.213916,1.041221,7,0.4841026,0.0134207,0.992788,0.9981263,0,0,0,1,,,,,0.9970829,0,17654,0,182,0,0,0,0,0,0,0,0,
2016/6/1,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.9974425,0.9997372,,0.2702703,0.003994426,0.0001870732,0.00209075,,,,,,3.7,0.002702703,0.9974425,0,111,0,145.4133,,0.008474576,0.004291845,1.016341,64.03264,20.7,1,13,13,0.9974425,0,0.002608696,1,1.176828,1.028235,11,0.417094,0.03089416,0.9681375,0.9900851,0,0,0,1,,,,,0.9979092,0,15222,1,233,1,0,0,0,0,0,0,0,
