Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/30,GYXMLCN,GZM25B3,GG16238,魅力东方牛仔城N,天河,G.5.10,0.970588,0.9997565,1,0,0.001669101,0.00135827,0.001513685,,,,,,2.4,0.375,0.9705882,0,,0,159.3346,,0,0,1.001265,23.34037,5.74,1,,10,0.9705882,0,0.001996008,1,1.144686,1.035714,,0.1808889,0.006575743,0.9984352,0.9962386,0,0,0,1,,,,,0.9984863,,,,,,,,,,,,,
2016/6/26,GYXMLCN,GZM25B3,GG16238,魅力东方牛仔城N,天河,G.5.10,0.940397,0.999737,1,0,0.001646865,0.001295489,0.001471177,,,,,,2.07,0.4202898,0.9403973,0,,0,187.5161,26.87195,0,0,1.000578,50.44352,6.61,1,,10,0.9403973,0,0.002427184,1,1.107261,1.011553,,0.1928889,0.005524862,0.9994118,0.9970557,0,0,0,1,,,,,0.9985288,,,,,,,,,,,,,
2016/6/28,GYXMLCN,GZM25B3,GG16238,魅力东方牛仔城N,天河,G.5.10,0.972222,1,1,0,0.002816541,0.001801106,0.002308824,,,,,,2.33,0.3347639,0.9722222,0,,0,188.7773,5.333333,0,0,1.001921,41.16738,5.85,1,,10,0.9722222,0,0.00625,1,1.1,1.018154,,0.1817778,0.00368518,0.9997439,0.9962692,0,0,0,1,,,,,0.9976912,,,,,,,,,,,,,
2016/6/29,GYXMLCN,GZM25B3,GG16238,魅力东方牛仔城N,天河,G.5.10,0.980728,1,0.9911504,0,0.001050751,0.0009469697,0.0009988605,,,,,,2.6,0.5692308,0.980728,0,,0,171.2595,,0,0,1.001064,31.50393,4.44,1,10,10,0.980728,0,0,1,1.125097,1.022371,0,0.1564444,0.006126617,0.9991594,0.9997895,0,0,0,1,,,,,0.9990011,,2938,0,195,0,0,0,0,0,0,0,0,
2016/6/27,GYXMLCN,GZM25B3,GG16238,魅力东方牛仔城N,天河,G.5.10,0.935138,1,1,0,0.00130039,0.0009122898,0.00110634,,,,,,2.11,0.8672986,0.9399586,0,,0,198.0953,30.733,0,0,1.000773,82.80043,9.64,1,,10,0.9399586,0,0.002262444,0.9948718,1.168267,1.021044,,0.2611111,0.004304408,0.9986996,0.9980451,0,0,0,1,,,,,0.9988937,,,,,,,,,,,,,
