Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/27,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.999178,0.9991734,1,0,0.001550894,0.002618729,0.002084812,,,,,,7.58,0.07783641,0.9991783,0,,0.02067522,142.3221,,0,0,1.359068,73.17875,25.38,1,,13,0.9991783,0,0.001697793,1,1.244396,1.038677,,0.5634188,0.0228013,0.9810899,0.9927439,0,0,0,1,,,,,0.9979152,,,,,,,,,,,,,
2016/6/29,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.998001,0.9993784,1,0.1358696,0.03945713,0.001256469,0.0203568,,,,,,7.36,0.2554348,0.998002,0,441.6,0.03032814,154.4911,,0.004484305,0.004854369,1.331206,90.76273,23.51,1,13,13,0.998002,0,0,1,1.184606,1.034443,10,0.5276923,0.01866094,0.9149434,0.9524636,0,0,0,1,,,,,0.9796432,,17695,1,206,0,0,1,0,0,0,0,0,
2016/6/28,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.997319,0.9997508,1,0,0.0007388071,0.0001977555,0.0004682813,,,,,,4.92,0.1626016,0.997319,0,,0.02689388,128.4516,,0,0,1.363754,63.91263,24.82,1,,13,0.997319,0,0,1,1.221904,1.029903,,0.5083761,0.01839665,0.9925134,0.998418,0,0,0,1,,,,,0.9995317,,,,,,,,,,,,,
2016/6/30,D1UBZSN,GZM47B1,GD25593,华根包装产品公司ND,开发区,G.2.4,0.997923,0.9993124,1,0,0.0003101545,0.0007443707,0.0005272626,,,,,,4.48,0.008928572,0.9979231,0,,0.02787927,143.321,,0,0,1.364416,90.147,25.71,1,,13,0.9979231,0,0,1,1.20077,1.03012,,0.5160684,0.02217753,0.9826934,0.9963402,0,0,0,1,,,,,0.9994727,,,,,,,,,,,,,
