Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/17,P1DDGMM,GZM30A,PG36184,大学城广美教学区N,番禺,G.1.3,0.9348936,0.9999176,0.9752066,1.67364,0.03405959,0.05651943,0.04528951,,,,,,4.78,0.874477,0.9644166,0.03061225,35.85,0,118.5217,17.62263,0.02285714,0.04210526,1.104146,107.2222,27.07,1,10,10,0.9644166,0,0.02579132,0.9693878,1.383834,1.097229,0,0.7077778,0.0533779,0.9324008,0.8186802,0,0,1,1,,,,,0.9547105,0,24284,8,190,1,3,3,0,0,0,1,0,
2016/6/19,P1DDGMM,GZM30A,PG36184,大学城广美教学区N,番禺,G.1.3,0.8647445,0.9999427,0.9507389,0.4261364,0.007873142,0.05007802,0.02897558,,,,,,7.04,0.875,0.9772985,0.1123596,105.6,0,122.5849,3.501477,0.006441224,0.00952381,1.064542,123.6641,30.48,1,10,10,0.9772985,0,0.01295987,0.8848315,1.711918,1.219384,0,0.8337778,0.04082426,0.9851778,0.9725834,0,0,1,1,,,,,0.9710244,1,34889,3,315,0,1,0,0,1,0,1,0,
2016/6/21,P1DDGMM,GZM30A,PG36184,大学城广美教学区N,番禺,G.1.3,0.945281,0.9998481,0.9105263,2.51046,0.03260626,0.0743251,0.05346568,,,,,,4.78,0.7154812,0.9752221,0.02631579,23.9,0.004978663,126.1242,15.19678,0.02708804,0.05429864,1.093883,127.379,23.72,1,10,10,0.9752221,0,0.01092044,0.9692982,2.006886,1.399155,0,0.6333333,0.03136571,0.9450783,0.9420448,0,0,1,1,,,,,0.9465343,1,32903,12,221,3,3,4,0,2,0,0,0,
2016/6/20,P1DDGMM,GZM30A,PG36184,大学城广美教学区N,番禺,G.1.3,0.9624388,1,0.8865979,1.204819,0.02529653,0.09396331,0.05962992,,,,,,2.49,0.5783132,0.9624388,0,37.35,0.003118798,110.895,16.10129,0.01632653,0.0234375,1.020697,37.05389,19.59,0.9995,10,10,0.9624388,0,0.014791,1,1.104298,1.024169,0,0.4906667,0.0272631,0.9430041,0.9222483,0,0,1,1,,,,,0.9403701,0,12609,3,128,1,0,0,0,1,0,1,0,
2016/6/18,P1DDGMM,GZM30A,PG36184,大学城广美教学区N,番禺,G.1.3,0.9044447,0.9960746,0.9306931,0.9063444,0.01856082,0.05145321,0.03500702,,,,,,6.62,0.8534743,0.9805195,0.06896552,66.2,0,111.4246,8.646852,0.01100917,0.01869159,1.092928,176.3577,31.41,1,10,10,0.9805195,0,0.01689189,0.9224138,2.225152,1.494519,0,0.8451111,0.02585285,0.9716896,0.9335379,0,0,1,1,,,,,0.964993,1,49677,6,321,0,2,3,0,0,1,0,0,
