Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/19,G3XSYDN,GZM50B3,GG40748,三元里G4N,白云,G.4.12,0.9716732,0.9918771,0.888977,2.610966,0.1060985,0.0105097,0.0583041,,,,,,65.11,0.6736292,0.9965401,0.0110833,23.53374,1,72.40932,11.91903,0.03919717,0.06233957,4.586277,250.4339,64.56,1,24,24,0.9966153,0,0.01819945,0.9749732,3.224942,1.340418,4,1.200648,0.0338635,0.9826484,0.9835892,1,1,0,1,,,,,0.9416959,1,159180,170,2727,0,24,3,107,2,14,0,20,
2016/6/17,G3XSYDN,GZM50B3,GG40748,三元里G4N,白云,G.4.12,0.986265,0.9930925,0.8855014,2.717139,0.1146522,0.01482803,0.06474009,,,,,,43.06,0.4391547,0.9957196,0.00149925,20.34331,1,64.70827,14.82937,0.04034308,0.05903128,4.548258,241.3505,50.46,1,24,24,0.9957196,0,0.01696461,0.9905047,3.403364,1.335099,0,0.8659259,0.03043144,0.9707336,0.9792356,1,1,0,1,,,,,0.9352599,1,132609,117,1982,2,16,5,73,0,10,0,11,
2016/6/20,G3XSYDN,GZM50B3,GG40748,三元里G4N,白云,G.4.12,0.9858135,0.9927867,0.9001548,2.520268,0.1028991,0.008403125,0.05565114,,,,,,56.74,0.6142052,0.9966381,0,23.0027,1,71.66138,12.98722,0.0382429,0.05607843,4.489193,296.1159,65.61,1,24,24,0.9966381,0,0.01660097,0.9891388,3.263959,1.347928,2,1.13287,0.02858659,0.9830282,0.9859247,1,1,0,1,,,,,0.9443489,1,158457,143,2550,0,28,1,78,4,13,0,19,
2016/6/18,G3XSYDN,GZM50B3,GG40748,三元里G4N,白云,G.4.12,0.9830973,0.9937308,0.9358426,2.215928,0.1026483,0.01267345,0.05766088,,,,,,60.02,0.5584805,0.9966332,0.001164144,26.28613,1,64.58295,13.53983,0.03630101,0.05232101,4.532239,251.3311,61.64,1,24,24,0.9966332,0,0.01451719,0.9864183,3.248136,1.313055,4,1.126482,0.03134387,0.9764577,0.9826671,1,1,0,1,,,,,0.9423391,1,154726,133,2542,0,34,2,64,3,16,0,13,
2016/6/21,G3XSYDN,GZM50B3,GG40748,三元里G4N,白云,G.4.12,0.9766452,0.9886854,0.9175501,3.929024,0.1082161,0.007190337,0.05770322,,,,,,39.45,0.3883397,0.9946394,0.003177966,14.88679,1,65.28377,13.11002,0.0574422,0.08360302,4.40685,196.1886,45.71,0.8134028,24,20,0.9945557,0,0.01544757,0.9819915,3.356764,1.335496,0,0.7885185,,0.9803198,0.9732416,1,1,0,1,,,,,0.9422968,1,116133,155,1854,0,38,1,76,1,13,0,26,
