Day,Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切入成功率,每Erl掉话数,上行6-7级质差话务比例,下行6-7级质差话务比例,GSM质差话务占比（六忙时）,GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/29,P8RJCYN,GZM44B8,PG31569,巨大创意产业园N,番禺,G.1.2,0.944694,0.9861252,1,0.130719,0.00243784,0.001671675,0.002054757,,,,,,22.95,0.3102396,0.9480969,0.003588517,459,0.142628,117.616,9.991929,0.002994012,0.00360144,2.59534,150.9022,36.99,0.9842361,24,24,0.9480969,0,0.02210071,0.9964115,1.837874,1.154751,55,0.555,0.00901493,0.9967495,0.9930065,0,0,0,1,,,,,0.9979452,,60181,3,833,0,0,0,0,0,0,0,3,
2016/6/30,P8RJCYN,GZM44B8,PG31569,巨大创意产业园N,番禺,G.1.2,0.779476,0.9977673,0.9885714,0.03960396,0.002289373,0.002125605,0.002207489,,,,,,25.25,0.2475248,0.7793434,0,1515,0.1438403,108.8506,5.277533,0.0009587728,0.001132503,2.621635,151.3987,35.01,1,,24,0.7794763,0,0.01489668,1,2.04561,1.160871,,0.557963,0.009771568,0.9983189,0.9930134,0,0,0,1,,,,,0.9977925,,,,,,,,,,,,,
2016/6/28,P8RJCYN,GZM44B8,PG31569,巨大创意产业园N,番禺,G.1.2,0.987744,0.9990789,1,0.07204611,0.002548977,0.002115389,0.002332183,,,,,,27.76,0.2525216,0.9877446,0,333.12,0.1704924,100.3088,5.148847,0.004484305,0.002083333,2.542476,116.6077,36.9,1,,24,0.9877446,0,0.02236136,1,1.88596,1.08946,,0.5987037,0.00801778,0.9995303,0.9988419,0,0,0,1,,,,,0.9976678,,,,,,,,,,,,,
2016/6/27,P8RJCYN,GZM44B8,PG31569,巨大创意产业园N,番禺,G.1.2,0.964271,0.9999624,0.9808612,0.06662225,0.002981463,0.001046875,0.002014169,,,,,,30.02,0.3251166,0.9642718,0,900.6,0.1015232,116.9497,9.321224,0.001574803,0.001860465,2.298318,116.0053,36.5,1,,24,0.9642718,0,0.03764284,1,1.741955,1.089677,,0.6159259,0.01127063,0.9981703,0.9976647,0,0,0,1,,,,,0.9979858,,,,,,,,,,,,,
