Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/20,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9991561,0.9999631,0.9858832,0.3731343,0.01342379,0.01855033,0.01598706,,,,,,21.44,0,0.9991561,0,142.9333,0.001520122,134.677,7.213393,0.002831079,0.01098901,1.026935,81.68634,27.77,1,28,28,0.9991561,0,0.002959831,1,1.277771,1.036729,0,0.3905556,0.0130165,0.9398102,0.9503004,0,0,0,1,,,,,0.984013,0,27118,8,728,1,1,4,0,0,0,0,2,
2016/6/20,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9994685,0.9999046,0.991033,0.2073828,0.01557983,0.01662532,0.01610257,,,,,,72.33,0,0.9996672,0,271.2375,3.278742E-05,93.14091,3.443315,0.001978729,0.005478451,1.002459,379.9444,70.37,1,56,56,0.9998336,0,0.0037181,0.9996349,2.257094,1.230997,0,0.5662698,0.01887063,0.8429472,0.7848448,0,0,0,1,,,,,0.9838974,1,136190,15,2738,2,1,7,0,1,0,0,4,
2016/6/7,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9961131,0.9999629,0.9855517,0.1104972,0.01093762,0.01185716,0.01139739,,,,,,18.1,0,0.9995658,0,271.5,0.0007189995,131.5132,26.36942,0.001483129,0.003466205,1.019233,64.56951,26.12,1,28,28,0.9995658,0,0.006533101,0.9965458,1.267889,1.015931,0,0.3509524,0.02154172,0.9610262,0.9693794,0,0,0,1,,,,,0.9886026,0,26976,2,577,1,0,1,0,0,0,0,0,
2016/6/7,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.997511,0.9999713,0.9914383,0.1538677,0.02336586,0.0211987,0.02228228,,,,,,71.49,0,0.997511,0,306.3857,9.166043E-05,100.0938,10.88618,0.001831981,0.004193672,1.163339,299.4492,66.24,1,56,56,0.997511,0,0.005114425,1,1.932323,1.158633,0,0.5465476,0.01760944,0.8838671,0.8047904,0,0,0,1,,,,,0.9777177,1,104582,11,2623,1,0,7,0,1,0,0,2,
2016/6/13,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,1.000554,1,0.997546,0.2147459,0.03331868,0.01952852,0.0264236,,,,,,13.97,0,1,0,209.55,0.0005364987,136.6178,5.605593,0.003223207,0.007075472,1.004527,181.8453,43.69,1,26,26,1.000554,0,0.002854696,1,1.32419,1.032301,0,0.4928205,0.01160185,0.9208615,0.8998336,0,0,0,1,,,,,0.9735764,1,46255,3,424,0,0,2,0,0,0,0,1,
2016/6/13,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9975317,0.9998338,0.9909012,0.1383764,0.0099784,0.01086461,0.01042151,,,,,,21.68,0,0.9987913,0,433.6,0.0008077124,125.0178,23.22516,0.001078749,0.005,1.0216,74.07171,25.47,1,28,28,0.9991942,0,0.006195787,0.9983361,1.268293,1.024862,0,0.3742064,0.01240364,0.9594226,0.9600924,0,0,0,1,,,,,0.9895785,0,24070,3,600,2,0,1,0,0,0,0,0,
2016/6/13,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9983152,0.9997644,0.9960822,0.1700439,0.02881533,0.01802736,0.02342134,,,,,,70.57,0,1,0.0003984064,352.85,3.281324E-05,84.79581,5.423107,0.001619433,0.004788508,1.015176,392.9252,68.31,1,56,56,0.9999087,0,0.004505333,0.9984064,2.396322,1.31552,0,0.5511111,0.01656047,0.8438718,0.7911665,0,0,0,1,,,,,0.9765787,1,135798,12,2506,1,0,10,0,1,0,0,0,
2016/6/17,ZS1GJC1,GZM19A,ZG24708,广河井口冚村,增城,G.8.3,0.9942813,0.9664119,0.9975094,0.75,0.01400913,0.02306313,0.01853613,,1,0,1,,16,0.01,0.9997264,0,73.84615,0.0003386514,143.6071,5.507391,0.009365994,0.01970443,1.005042,223.9319,44.9,0.958077,26,25,0.9991792,0,0.001976285,0.9950981,1.573015,1.148665,0,0.5205128,0.01288038,0.9084783,0.8908524,0,0,0,1,,,,,0.9814638,1,53263,12,609,0,0,5,0,0,0,0,7,
2016/6/17,ZS1GJC2,GZM19A,ZG24709,广河井口冚村,增城,G.8.3,0.9957893,0.989477,0.9817814,0.8887008,0.01150968,0.01963381,0.01557175,,,,,,23.63,0.1032586,0.9993179,0,67.51428,0.00117096,122.0203,27.65423,0.006912442,0.02720207,1.025761,167.8613,41.27,0.9576786,28,27,0.9996589,0,0.004815962,0.996129,1.486503,1.104089,0,0.5150794,0.01508521,0.9013953,0.8916731,0,0,0,1,,,,,0.9844282,0,41813,21,772,3,2,3,0,2,0,0,11,
2016/6/17,ZS1GJC3,GZM19A,ZG24710,广河井口冚村,增城,G.8.3,0.9871885,0.9782978,0.9949948,0.9625201,0.0150779,0.02072037,0.01789913,,,,,,68.57,0.0016042,0.9998401,0.0003542331,59.62609,7.415097E-05,65.98141,25.25533,0.009347061,0.02342918,1.067959,401.8369,76.44,0.9561012,56,54,0.9892911,0.00659725,0.004409963,0.9978746,2.731601,1.531425,0,0.5754365,0.01956768,0.8566459,0.79311,0,0,0,1,,,,,0.9821008,1,174314,66,2817,1,9,22,0,0,0,0,31,
