Datetime Id(GSM_CELL),Moid(GSM_CELL),Bsc(GSM_CELL),ID,小区名,网格九分区,网格,无线接入性,下行TBF建立成功率,切换成功率,每Erl掉话数,上行6-7级质差话务比例（六忙时）,下行6-7级质差话务比例（六忙时）,GSM质差话务占比(六忙时),GSM上下行质差话务比例,最差小区次数,高掉话最差小区次数,高拥塞最差小区次数,寻呼成功率,TCH话务量,半速率比例,随机接入成功率,TCH拥塞率(考核算法),话务掉话比,上行底噪,EDGE下行速率,GPRS下行速率,掉话率(最差小区考核算法),TCH掉话率(不含切换),干扰系数,总流量(MB),PDCH使用数,TCH信道完好率,TCH定义信道数,TCH可用信道数,SDCCH指配成功率,SDCCH拥塞率,SDCCH掉话率,TCH指配成功率,PDCH下行复用度(旧),PDCH下行复用度(新),寻呼拥塞总数,信道利用率,TBF掉线率,上行覆盖率,下行覆盖率,高干扰小区数(4-5级干扰>30%),上行高质差小区数(6-7级质差>5%),下行高质差小区数(6-7级质差>5%),小区数,上行6-7级质差话务比例（六忙时-室内）,下行6-7级质差话务比例（六忙时-室内）,上行6-7级质差话务比例（六忙时-室外）,下行6-7级质差话务比例（六忙时-室外）,GSM语音质量,高流量小区个数,TBF下行申请数,TCH掉话次数,TCH申请数,上行弱信号掉话,下行弱信号掉话,双向弱信号掉话,上行质差掉话,下行质差掉话,双向质差掉话,TA掉话,突然掉话,
2016/6/18,HR1B3DN,GZM18A,HG39697,白云沙涌北D3N,白云,G.4.12,0.9834469,0.9998471,0.8335229,1.516228,0.09361792,0.005999517,0.04980872,,,,,,42.21,0.02084814,0.9920257,0,33.32368,0.3555649,129.1959,14.68009,0.02134232,0.05075337,2.613244,369.6876,45.42,1,24,24,0.9920257,0,0.01061453,0.9913522,2.587513,1.314059,0,0.8113889,0.02154435,0.9974597,0.9956843,1,1,0,1,,,,,0.9501913,1,52314,64,1261,0,2,0,37,1,3,0,21,
2016/6/21,HR1B3DN,GZM18A,HG39697,白云沙涌北D3N,白云,G.4.12,0.9809788,0.9999485,0.8724467,0.6496319,0.05436035,0.004043722,0.02920203,,,,,,46.18,0.002598528,0.9913574,0,76.96667,0.01067368,130.0073,17.30663,0.01080432,0.02546689,1.959192,217.8637,38.24,1,24,24,0.9918045,0,0.01264822,0.9890848,2.057125,1.202218,0,0.7816666,0.01167657,0.998664,0.999383,0,1,0,1,,,,,0.970798,1,38814,30,1178,0,0,0,18,0,1,0,11,
2016/6/17,HR1B3DN,GZM18A,HG39697,白云沙涌北D3N,白云,G.4.12,0.9833294,0.9999445,0.8157514,1.384856,0.08087352,0.004916235,0.04289488,,,,,,44.77,0.0451195,0.9916094,0,32.75854,0.003470339,125.3992,11.35013,0.02177376,0.04679245,1.773181,368.1931,44.69,1,24,24,0.9914928,0,0.01380522,0.9917665,2.63695,1.335248,0,0.8283333,0.01374364,0.9963025,0.9951486,0,1,0,1,,,,,0.9571051,1,54035,62,1325,0,3,0,37,0,1,0,21,
2016/6/20,HR1B3DN,GZM18A,HG39697,白云沙涌北D3N,白云,G.4.12,0.9823328,0.999978,0.8965098,0.9833763,0.06273904,0.004219409,0.03347922,,,,,,42.71,0.007726528,0.9920588,0,50.24706,0.01471403,139.8649,12.83352,0.01432987,0.03465347,2.12381,342.4391,42.05,1,24,24,0.9920588,0,0.01051167,0.990196,2.376888,1.309136,0,0.7848148,0.01206385,0.9982831,0.9951227,0,1,0,1,,,,,0.9665208,1,45499,42,1212,0,1,0,22,0,0,0,18,
2016/6/19,HR1B3DN,GZM18A,HG39697,白云沙涌北D3N,白云,G.4.12,0.9843116,1,0.8813732,1.046656,0.06439736,0.006549828,0.03547359,,,,,,56.37,0.1380167,0.9910526,0,45.70541,0.09906768,134.7954,23.92627,0.01817289,0.04577192,2.485881,468.1586,44.74,1,24,24,0.9911842,0,0.01031503,0.9930663,2.485997,1.380495,0,0.9362037,0.01309144,0.9982852,0.9973525,0,1,0,1,,,,,0.9645264,1,46564,59,1289,0,4,0,35,1,1,0,18,
